helper,function,date,set_no_internal,ref_no,cs_no,area,sales_area,hospital,doctor,brand,product,case_date,case_time,sending_date,due_time,courier,recipient,set_no,box_no,return_box,case_used,confirm_email,current_day,notice_return,status,status_date,remark
Stryker T8,,07-03-25,,REF_MASKED,,UPC,SALES_020,HOSP_327,DR_222,Stryker T8,Distal Radius T8,10-03-25,9:00,08-03-25,,รถตู้ - แม่กลอง,STAFF_1181,39,BM21,คืน,ใช้,,3/18/2026,,Received,3/14/2025,
Sigma 2.7/3.5N,,07-03-25,,REF_MASKED,,UPC,SALES_020,HOSP_327,DR_222,Sigma 2.7/3.5N,Fibular (New),10-03-25,9:00,08-03-25,,รถตู้ - แม่กลอง,STAFF_1181,SMS02,BM21,คืน,ใช้,,3/18/2026,,Received,3/14/2025,
Sigma Nail,,07-03-25,,REF_MASKED,,BKK,SALES_006,HOSP_228,DR_355,Sigma Nail,PFNA SL,10-03-25,10:00,08-03-25,,ขนส่งบริษัท,STAFF_983,N29,BM12,คืน,ใช้,,3/18/2026,,Received,3/13/2025,
Sigma 3.5,,08-03-25,,REF_MASKED,,BKK,SALES_003,HOSP_052,DR_648,Sigma 3.5,PMT & PLT,08-03-25,18:30,08-03-25,,ขนส่งบริษัท,STAFF_146,S71,BS11,คืน,ใช้,,3/18/2026,,Received,3/10/2025,
Sigma 3.5,,08-03-25,,REF_MASKED,,BKK,SALES_002,HOSP_295,DR_286,Sigma 3.5,DMT + DAT + Fibular,09-03-25,7:00,08-03-25,,ขนส่งบริษัท,STAFF_154,S17,น้ำเงินเล็ก,คืน,ใช้,,3/18/2026,,Received,3/12/2025,
Auxein EF,,08-03-25,,REF_MASKED,,UPC,SALES_020,HOSP_327,DR_222,Auxein EF,Expert femur,10-03-25,13:00,08-03-25,,รถตู้ - แม่กลอง,STAFF_1181,16,BB07,คืน,ใช้,,3/18/2026,,Received,3/14/2025,
Auxein FNS,,09-03-25,,REF_MASKED,,UPC,SALES_026,HOSP_097,DR_016,Auxein FNS,FNS,11-03-25,-,09-03-25,,CARGO,STAFF_643,FNS4,เขียวใหญ่,คืน,คืนครบ,,3/18/2026,,Received,3/13/2025,
Sigma 3.5,,08-03-25,,REF_MASKED,,BKK,SALES_002,HOSP_295,DR_286,Sigma 3.5,DMT + DAT + Fibular,09-03-25,7:00,08-03-25,,ขนส่งบริษัท,STAFF_154,S58,เขียวเล็ก,คืน,ใช้,,3/18/2026,,Received,3/12/2025,
Sigma Nail,,08-03-25,,REF_MASKED,,BKK,SALES_002,HOSP_324,DR_698,Sigma Nail,PFNA SL + Lag TFN,10-03-25,-,08-03-25,,ขนส่งบริษัท,STAFF_038,N16,BL02,คืน,ใช้,,3/18/2026,,Received,3/14/2025,
Sigma TTC,,09-03-25,,REF_MASKED,,UPC,SALES_026,HOSP_097,DR_016,Sigma TTC,Ankle Fusion Nail,11-03-25,-,09-03-25,,CARGO,STAFF_643,AFN01,เขียวใหญ่,คืน,คืนครบ,,3/18/2026,,Received,3/13/2025,
Sigma Nail,,08-03-25,,REF_MASKED,,BKK,SALES_003,HOSP_015,DR_421,Sigma Nail,PFNA SL,09-03-25,22:30,08-03-25,,ขนส่งบริษัท,STAFF_081,N24,BM16,คืน,ใช้,,3/18/2026,,Received,3/11/2025,
Auxein VA,,08-03-25,,REF_MASKED,,BKK,SALES_008,HOSP_116,DR_094,Auxein VA,Distal radius VA & XXL plate,11-03-25,10:00,10-03-68,,ขนส่งบริษัท,STAFF_146,02,BS25,คืน,คืนครบ,,3/18/2026,,Received,3/11/2025,
Sigma Nail,,08-03-25,,REF_MASKED,,BKK,SALES_009,HOSP_043,DR_516,Sigma Nail,PFNA SL,09-03-25,20:00,09-03-25,,ขนส่งบริษัท,STAFF_146,N07,BM23,คืน,ใช้,,3/18/2026,,Received,3/19/2025,
Sigma 3.5,,08-03-25,,REF_MASKED,,BKK,SALES_001,HOSP_296,DR_083,Sigma 3.5,Proximal Humerus & Recon lcp,11-03-25,9:00,08-03-25,,ขนส่งบริษัท,STAFF_035,S23,-,-,ใช้,,3/18/2026,,Received,3/18/2025,
Sigma 5.0,,09-03-25,,REF_MASKED,,BKK,SALES_008,HOSP_130,DR_226,Sigma 5.0,Distal femur,09-03-25,14:00,09-03-25,,ขนส่งบริษัท,STAFF_030,L13,เขียวกลาง,คืน,คืนครบ,,3/18/2026,,Received,3/11/2025,
Auxein ET,,09-03-25,,REF_MASKED,,BKK,SALES_004,HOSP_423,DR_1066,Auxein ET,Expert tibia,09-03-25,15:00,09-03-25,,ขนส่งบริษัท,STAFF_154,ET12,BB01,คืน,ใช้,,3/18/2026,,Received,3/12/2025,
Sigma Nail,,09-03-25,,REF_MASKED,,BKK,SALES_006,HOSP_205,DR_355,Sigma Nail,PFNA SL,10-03-25,18:00,09-03-25,,ขนส่งบริษัท,STAFF_154,N40,BB21,คืน,ใช้,,3/18/2026,,Received,3/12/2025,
Sigma 3.5,,09-03-25,,REF_MASKED,,BKK,SALES_006,HOSP_205,DR_355,Sigma 3.5,Proximal Humerus,10-03-25,18:00,09-03-25,,ขนส่งบริษัท,STAFF_154,S42,BB21,คืน,ใช้,,3/18/2026,,Received,3/12/2025,
Auxein ET,,09-03-25,,REF_MASKED,,BKK,SALES_002,HOSP_060,DR_738,Auxein ET,Expert tibia,10-03-25,8:30,09-03-25,,ขนส่งบริษัท,STAFF_146,ET15,9/น,คืน,ใช้,,3/18/2026,,Received,3/11/2025,
Sigma 3.5,,09-03-25,,REF_MASKED,,BKK,SALES_009,HOSP_414,DR_2061,Sigma 3.5,Small lcp,11-03-25,14:00,10-03-25,,ขนส่งบริษัท,STAFF_201,S51,6/ข,คืน,ใช้,,3/18/2026,,Received,3/18/2025,
Stryker T8,,09-03-25,,REF_MASKED,,BKK,SALES_006,HOSP_444,DR_620,Stryker T8,Distal Radius T8,09-03-25,16:00,09-03-25,,ขนส่งบริษัท,STAFF_154,24,BL14,คืน,ใช้,,3/18/2026,,Received,3/10/2025,
Sigma 3.5,,09-03-25,,REF_MASKED,,BKK,SALES_006,HOSP_444,DR_620,Sigma 3.5,PMT & PLT,09-03-25,16:00,09-03-25,,ขนส่งบริษัท,STAFF_154,S68,BL14,คืน,ใช้,,3/18/2026,,Received,3/10/2025,
Sigma 2.7/3.5N,,09-03-25,,REF_MASKED,,BKK,SALES_006,HOSP_444,DR_620,Sigma 2.7/3.5N,Fibular (New),09-03-25,16:00,09-03-25,,ขนส่งบริษัท,STAFF_154,SMS06,BL14,คืน,คืนครบ,,3/18/2026,,Received,3/10/2025,
Stryker T10,,09-03-25,,REF_MASKED,,UPC,SALES_016,HOSP_138,DR_100,Stryker T10,Calcaneus T10,11-03-25,9:00,09-03-25,,แอร์อุดรทัวร์,STAFF_837,02,เขียวเล็ก,คืน,ใช้,,3/18/2026,,Received,3/17/2025,
Sigma 3.5,,09-03-25,,REF_MASKED,,UPC,SALES_018,HOSP_391,DR_674,Sigma 3.5,DMT,11-03-25,7:00,10-03-25,,รถตู้ - SO ทัวร์,STAFF_625,S18,3/ข,คืน,ใช้,,3/18/2026,,Received,3/19/2025,
Stryker T10,,10-03-25,,REF_MASKED,,UPC,SALES_025,HOSP_483,DR_304,Stryker T10,Calcaneus T10,12-03-25,10:00,10-03-25,,เชิดชัยทัวร์,STAFF_480,04,เขียวเล็ก,คืน,ใช้,,3/18/2026,,Received,3/17/2025,
Off Plate,,10-03-25,,REF_MASKED,,BKK,SALES_009,HOSP_414,DR_158,Off Plate,Stryker T8 ( 2 ชิ้น ),10-03-25,19:00,10-03-25,,ขนส่งบริษัท,STAFF_201,-,6/ข,คืน,คืนครบ,,3/18/2026,,Received,3/14/2025,
Auxein VA,,10-03-25,,REF_MASKED,,BKK,SALES_009,HOSP_414,DR_158,Auxein VA,Distal radius VA & XXL plate,10-03-25,20:00,10-03-25,,ขนส่งบริษัท,STAFF_201,04,6/ข,คืน,ใช้,,3/18/2026,,Received,3/12/2025,
Sigma 2.7/3.5,,10-03-25,,REF_MASKED,,UPC,SALES_023,HOSP_026,DR_631,Sigma 2.7/3.5,Elbow,10-03-25,20:00,10-03-25,,CARGO,STAFF_758,15,GM02,คืน,ใช้,,3/18/2026,,Received,3/19/2025,
Auxein EF,,10-03-25,,REF_MASKED,,BKK,SALES_008,HOSP_130,DR_226,Auxein EF,Expert femur + Recon,09-03-25,14:00,09-03-25,,ขนส่งบริษัท,STAFF_030,03,BB21,คืน,ใช้,,3/18/2026,,Received,3/11/2025,
Sigma Nail,,10-03-25,,REF_MASKED,,UPC,SALES_021,HOSP_465,DR_169,Sigma Nail,Retrograde,10-03-25,9:00,09-03-25,,รถตู้ - พัทยา,STAFF_833,R1,2/น,คืน,ใช้,,3/18/2026,,Received,3/12/2025,
Sigma 5.0,,10-03-25,,REF_MASKED,,BKK,SALES_001,HOSP_296,DR_083,Sigma 5.0,Distal femur,10-03-25,9:00,08-03-25,,ขนส่งบริษัท,STAFF_035,L18,-,-,ใช้,,3/18/2026,,Received,3/18/2025,
Sigma 2.7/3.5,,10-03-25,,REF_MASKED,,BKK,SALES_001,HOSP_296,DR_083,Sigma 2.7/3.5,Clavicle (Old) & hook,10-03-25,9:00,13-02-25,,ขนส่งบริษัท,STAFF_035,05-1,-,-,คืนครบ,,3/18/2026,,Received,3/18/2025,
Stryker T8T10,,10-03-25,,REF_MASKED,,UPC,SALES_016,HOSP_404,DR_394,Stryker T8T10,Foot & Ankle (F&A),11-03-25,11:00,10-03-25,,นครชัยแอร์ทัวร์,STAFF_707,FA6,GM05,คืน,ใช้,,3/18/2026,,Received,3/17/2025,
Stryker T10,,10-03-25,,REF_MASKED,,UPC,SALES_016,HOSP_404,DR_394,Stryker T10,Calcaneus T10,11-03-25,11:00,10-03-25,,นครชัยแอร์ทัวร์,STAFF_707,01,GM05,คืน,ใช้,,3/18/2026,,Received,3/17/2025,
Off Plate,,10-03-25,,REF_MASKED,,UPC,SALES_019,HOSP_409,DR_701,Off Plate,Dynamic Hip,10-03-25,9:00,09-03-25,,รถตู้,STAFF_786,-,น้ำเงินกลาง,คืน,คืนครบ,,3/18/2026,,Received,3/24/2025,
Auxein HLS,,10-03-25,,REF_MASKED,,UPC,SALES_016,HOSP_404,DR_394,Auxein HLS,Headless screw,11-03-25,11:00,10-03-25,,นครชัยแอร์ทัวร์,STAFF_707,HL1,GM05,คืน,ใช้,,3/18/2026,,Received,3/17/2025,
Auxein EF,,10-03-25,,REF_MASKED,,BKK,SALES_004,HOSP_078,DR_545,Auxein EF,Expert femur + Recon,11-03-25,9:00,10-03-25,,ขนส่งบริษัท,STAFF_178,13,BB21,คืน,ใช้,,3/18/2026,,Received,3/17/2025,
Auxein VA,,10-03-25,,REF_MASKED,,BKK,SALES_009,HOSP_421,DR_158,Auxein VA,Distal radius VA,10-03-25,5:30,07-03-25,,ขนส่งบริษัท,STAFF_165,12,-,-,ใช้,,3/18/2026,,Received,3/12/2025,
Off Nail,,10-03-25,,REF_MASKED,,UPC,SALES_026,HOSP_097,DR_606,Off Nail,Sigma PFNA ( 7 ชิ้น ),13-03-25,-,10-03-25,,นครชัยแอร์ทัวร์,STAFF_615,-,BM07,คืน,คืนครบ,,3/18/2026,,Received,3/17/2025,
Off Plate,,10-03-25,,REF_MASKED,,UPC,SALES_012,HOSP_435,DR_354,Off Plate,Auxein FNS ( 5 ชิ้น ),12-03-25,-,10-03-25,,สมบัติทัวร์,STAFF_640,-,-,-,คืนครบ,,3/18/2026,,Received,3/29/2025,
Sigma Nail,,10-03-25,,REF_MASKED,,BKK,SALES_002,HOSP_324,DR_654,Sigma Nail,PFNA SL + Lag TFN,11-03-25,13:00,11-03-25,,ขนส่งบริษัท,STAFF_165,N42,BL17,คืน,ใช้,,3/18/2026,,Received,3/14/2025,
Stryker T8,,10-03-25,,REF_MASKED,,UPC,SALES_014,HOSP_352,DR_509,Stryker T8,Distal radius T8 & RIM plate,12-03-25,-,10-03-25,,บขส. 999 ทัวร์,STAFF_692,25,BS11,คืน,คืนครบ,,3/18/2026,,Received,3/19/2025,
Auxein VA,,10-03-25,,REF_MASKED,,UPC,SALES_014,HOSP_352,DR_509,Auxein VA,Distal radius VA & RIM plate,12-03-25,-,10-03-25,,บขส. 999 ทัวร์,STAFF_692,14,BS11,คืน,ใช้,,3/18/2026,,Received,3/19/2025,
Off Plate,,10-03-25,,REF_MASKED,,BKK,SALES_003,HOSP_158,DR_421,Off Plate,Sigma 3.5  ( 2 ชิ้น ),12-03-25,20:30,11-03-25,,ขนส่งบริษัท,STAFF_154,-,-,-,คืนครบ,,3/18/2026,,Received,3/18/2025,
Sigma 3.5,,10-03-25,,REF_MASKED,,UPC,SALES_018,HOSP_391,DR_674,Sigma 3.5,PLT,11-03-25,22:00,10-03-25,,แอร์ชัยภูมิ,STAFF_625,S22,BS04,คืน,ใช้,,3/18/2026,,Received,3/17/2025,
Off Plate,,11-03-25,,REF_MASKED,,BKK,SALES_003,HOSP_052,DR_648,Off Plate,Sigma 3.5  ( 2 ชิ้น ),11-03-25,13:00,11-03-25,,ขนส่งบริษัท,STAFF_146,-,-,-,คืนครบ,,3/18/2026,,Received,3/19/2025,
Sigma 5.0,,11-03-25,,REF_MASKED,,UPC,SALES_018,HOSP_305,DR_845,Sigma 5.0,Proximal lateral tibia,13-03-25,13:00,11-03-25,,นครชัยแอร์ทัวร์,STAFF_507,L19,BM08,คืน,คืนครบ,,3/18/2026,,Received,3/24/2025,
Auxein EF,,11-03-25,,REF_MASKED,,BKK,SALES_003,HOSP_102,DR_273,Auxein EF,Expert femur + Recon,12-03-25,13:00,11-03-25,,ขนส่งบริษัท,STAFF_178,12,BB11,คืน,ใช้,,3/18/2026,,Received,3/17/2025,
Sigma Nail,,11-03-25,,REF_MASKED,,BKK,SALES_009,HOSP_414,DR_555,Sigma Nail,PFNA SL,12-03-25,21:00,11-03-25,,ขนส่งบริษัท,STAFF_201,N24,BL14,คืน,ใช้,,3/18/2026,,Received,3/14/2025,
Auxein EF,,11-03-25,,REF_MASKED,,BKK,SALES_003,HOSP_251,DR_2107,Auxein EF,Expert femur + Recon,12-03-25,11:00,11-03-25,,ขนส่งบริษัท,STAFF_011,04,BB00,คืน,ใช้,,3/18/2026,,Received,3/14/2025,
Sigma 3.5,,11-03-25,,REF_MASKED,,UPC,SALES_011,HOSP_344,DR_831,Sigma 3.5,Locking screw 3.5x14 = 1,-,-,12-03-25,,สมบัติทัวร์,STAFF_936,-,,,,,3/18/2026,,,,
Sigma 2.7/3.5N,,11-03-25,,REF_MASKED,,UPC,SALES_026,HOSP_366,DR_720,Sigma 2.7/3.5N,Clavicle (Old) & hook,12-03-25,11:00,11-03-25,,CARGO,STAFF_643,SMS04,BM05,คืน,ใช้,,3/18/2026,,Received,3/17/2025,
Sigma 2.7/3.5,,11-03-25,,REF_MASKED,,UPC,SALES_016,HOSP_140,DR_621,Sigma 2.7/3.5,Clavicle (Old) & hook,13-03-25,9:00,11-03-25,,บุษราคัมทัวร์,STAFF_686,04,BS18,คืน,ใช้,,3/18/2026,,Received,3/19/2025,
Sigma Nail,,11-03-25,,REF_MASKED,,BKK,SALES_003,HOSP_080,DR_337,Sigma Nail,PFNA SL,12-03-25,13:00,12-03-25,,ขนส่งบริษัท,STAFF_206,N12,BL07,คืน,ใช้,,3/18/2026,,Received,3/19/2025,
Sigma 3.5,,11-03-25,,REF_MASKED,,UPC,SALES_011,HOSP_344,DR_663,Sigma 3.5,Recon (เฉพาะ Plate),13-03-25,8:00,12-03-25,,สมบัติทัวร์,STAFF_936,-,-,-,คืนครบ,,3/18/2026,,Received,3/26/2025,
Sigma Nail,,11-03-25,,REF_MASKED,,BKK,SALES_003,HOSP_080,DR_337,Sigma Nail,PFNA SL,12-03-25,-,12-03-25,,ขนส่งบริษัท,STAFF_206,N03,BL02,คืน,ใช้,,3/18/2026,,Received,3/19/2025,
Sigma 3.5,,12-03-25,,REF_MASKED,,UPC,SALES_020,HOSP_338,DR_222,Sigma 3.5,DMT + DAT,14-03-25,13:00,12-03-25,,รถตู้แม่กลอง,STAFF_1181,S26-1,BS14,คืน,ใช้,,3/18/2026,,Received,3/27/2025,
Sigma Nail,,12-03-25,,REF_MASKED,,BKK,SALES_002,HOSP_060,DR_738,Sigma Nail,Retrograde Nail,12-03-25,17:00,12-03-25,,ขนส่งบริษัท,STAFF_146,R1,BL21,คืน,ใช้,,3/18/2026,,Received,3/14/2025,
Sigma 5.0,,12-03-25,,REF_MASKED,,BKK,SALES_003,HOSP_158,DR_421,Sigma 5.0,Off Plate 5.0 ( 2 ชิ้น ),12-03-25,20:00,12-03-25,,ขนส่งบริษัท,STAFF_154,-,-,-,คืนครบ,,3/18/2026,,Received,3/18/2025,
Sigma 3.5,,12-03-25,,REF_MASKED,,BKK,SALES_003,HOSP_102,DR_2053,Sigma 3.5,Proximal Humerus,14-03-25,-,13-03-25,,ขนส่งบริษัท,STAFF_178,S16,เขียวเล็ก,คืน,คืนครบ,,3/18/2026,,Received,3/17/2025,
Sigma 3.5,,12-03-25,,REF_MASKED,,UPC,SALES_025,HOSP_483,DR_591,Sigma 3.5,DMT + DAT,14-03-25,9:00,12-03-25,,เชิดชัยทัวร์,STAFF_892,S62,ฟ้าเล็ก,คืน,ใช้,,3/18/2026,,Received,3/19/2025,
Auxein Fix,,12-03-25,,REF_MASKED,,UPC,SALES_015,HOSP_471,DR_896,Auxein Fix,Radial head Fix 2.4,14-03-25,-,12-03-25,,แอร์เมืองเลย,STAFF_462,06,BS03,คืน,ใช้,,3/18/2026,,Received,3/24/2025,
Sigma 3.5,,12-03-25,,REF_MASKED,,UPC,SALES_015,HOSP_471,DR_896,Sigma 3.5,Proximal Humerus VA (Implant),14-03-25,-,12-03-25,,แอร์เมืองเลย,STAFF_462,-,BS03,คืน,คืนครบ,,3/18/2026,,Received,3/24/2025,
Sigma 2.7/3.5N,,12-03-25,,REF_MASKED,,BKK,SALES_007,HOSP_195,DR_656,Sigma 2.7/3.5N,Clavicle (New),13-03-25,15:00,12-03-25,,ขนส่งบริษัท,STAFF_201,SMS09,BM09,คืน,ใช้,,3/18/2026,,Received,3/18/2025,
Sigma 3.5,,12-03-25,,REF_MASKED,,UPC,SALES_015,HOSP_471,DR_896,Sigma 3.5,Instrument + Screw,14-03-25,-,12-03-25,,แอร์เมืองเลย,STAFF_462,S65,BS03,คืน,คืนครบ,,3/18/2026,,Received,3/24/2025,
Sigma 3.5,,12-03-25,,REF_MASKED,,UPC,SALES_015,HOSP_471,DR_896,Sigma 3.5,Proximal Humerus (Implant),14-03-25,-,12-03-25,,แอร์เมืองเลย,STAFF_462,-,BS03,คืน,คืนครบ,,3/18/2026,,Received,3/24/2025,
Auxein EF,,12-03-25,,REF_MASKED,,BKK,SALES_003,HOSP_102,DR_286,Auxein EF,Expert Femur + Recon 6.5,14-03-25,8:30,13-03-25,,ขนส่งบริษัท,STAFF_178,03,BB12,คืน,ใช้,,3/18/2026,,Received,3/17/2025,
Sigma 2.7/3.5,,12-03-25,,REF_MASKED,,UPC,SALES_017,HOSP_356,DR_634,Sigma 2.7/3.5,Distal Elbow,13-03-25,13:00,12-03-25,,นครชัยแอร์,STAFF_475,09,BS02,คืน,ใช้,,3/18/2026,,Received,3/19/2025,
Sigma 3.5,,12-03-25,,REF_MASKED,,UPC,SALES_020,HOSP_338,DR_235,Sigma 3.5,PMT & PLT,13-03-25,13:00,12-03-25,,รถตู้แม่กลอง,STAFF_1181,S71,เขียวเล็ก,คืน,ใช้,,3/18/2026,,Received,3/19/2025,
,,13-03-25,,REF_MASKED,,,,HOSP_008,,,,,,,,,,,,,,,3/18/2026,,,,
Sigma 3.5,,13-03-25,,REF_MASKED,,BKK,SALES_008,HOSP_086,DR_739,Sigma 3.5,Proximal Humerus,13-03-25,16:00,13-03-25,,ขนส่งบริษัท,STAFF_178,S38,น้ำเงินเล็ก,คืน,ใช้,,3/18/2026,,Received,3/18/2025,
,,13-03-25,,REF_MASKED,,,,HOSP_008,,,,,,,,,,,,,,,3/18/2026,,,,
Auxein FNS,,13-03-25,,REF_MASKED,,BKK,SALES_003,HOSP_102,DR_2053,Auxein FNS,Femoral Neck System,14-03-25,11:00,13-03-25,,ขนส่งบริษัท,STAFF_178,FNS1,BM15,คืน,ใช้,,3/18/2026,,Received,3/17/2025,
Sigma 3.5,,13-03-25,,REF_MASKED,,BKK,SALES_008,HOSP_125,DR_418,Sigma 3.5,Proximal Humerus,13-03-25,14:00,13-03-25,,ขนส่งบริษัท,STAFF_146,S66,น้ำเงินเล็ก,คืน,ใช้,,3/18/2026,,Received,3/18/2025,
Sigma Nail,,13-03-25,,REF_MASKED,,BKK,SALES_004,HOSP_417,DR_170,Sigma Nail,PFNA SL + Lag TFN,13-03-25,14:00,13-03-25,,ขนส่งบริษัท,STAFF_154,N06,,,,,3/18/2026,,Cancel,Cancel,
Auxein ET,,13-03-25,,REF_MASKED,,BKK,SALES_002,HOSP_060,DR_738,Auxein ET,Expert Tibia,14-03-25,8:30,13-03-25,,ขนส่งบริษัท,STAFF_146,15,8/น,คืน,ใช้,,3/18/2026,,Received,3/18/2025,
Sigma TTC,,13-03-25,,REF_MASKED,,BKK,SALES_003,HOSP_102,DR_286,Sigma TTC,Ankle Fusion Nail,14-03-25,8:30,13-03-25,,ขนส่งบริษัท,STAFF_178,AFN02,BL09,คืน,ใช้,,3/18/2026,,Received,3/17/2025,
Sigma Nail,,13-03-25,,REF_MASKED,,UPC,SALES_020,HOSP_368,-,Sigma Nail,PFNA SL,Stand by Case,-,14-03-25,,ขนส่งบริษัท,STAFF_165,N40,BL17,คืน,ใช้,,3/18/2026,,Received,4/9/2025,
Sigma 3.5S12,,14-03-25,S12,REF_MASKED,,UPC,SALES_019,HOSP_431,-,Sigma 3.5,Instrument,คลังวาง,-,03-03-25,,,,S12,,,,,,,Consign,Consign,
Sigma 3.5S54,,14-03-25,S54,REF_MASKED,,UPC,SALES_014,HOSP_492,-,Sigma 3.5,PMT+PLT+DMT+DAT+F,คลังวาง,-,13-03-25,,ลุงอ้วนทัวร์,-,S54,,,,,3/18/2026,,Consign,Consign,
Sigma 5.0L03,,14-03-25,L03,REF_MASKED,,UPC,SALES_014,HOSP_492,-,Sigma 5.0,DF+B+N,คลังวาง,-,13-03-25,,ลุงอ้วนทัวร์,-,L03,,,,,3/18/2026,,Consign,Consign,
Auxein VA,,14-03-25,,REF_MASKED,,UPC,SALES_014,HOSP_492,-,Auxein VA,Distal radius VA,คลังวาง,-,13-03-25,,ลุงอ้วนทัวร์,-,02,-,-,คืนครบ,,3/18/2026,,Received,11/20/2025,
Sigma 3.5,,14-03-25,,REF_MASKED,,UPC,SALES_021,HOSP_211,DR_368,Sigma 3.5,Proximal Humerus,14-03-25,20:00,14-03-25,,รถตู้ฉะเชิงเทรา,STAFF_449,S75,BS15,คืน,คืนครบ,Mail,3/18/2026,,Received,3/19/2025,
Sigma Nail,,14-03-25,,REF_MASKED,,UPC,SALES_022,HOSP_085,DR_224,Sigma Nail,PFNA S (Instrument Long),17-03-25,9:00,14-03-25,,โชคอนันต์ทัวร์,STAFF_657,N15,น้ำเงินกลาง,คืน,ใช้,Mail,3/18/2026,,Received,3/19/2025,
Sigma 2.7/3.5N,,14-03-25,,REF_MASKED,,BKK,SALES_009,HOSP_414,DR_296,Sigma 2.7/3.5N,Clavical (Old+New),15-03-25,20:30,14-03-25,,ขนส่งบริษัท,STAFF_201,SMS11,BM11,คืน,ใช้,Mail,3/18/2026,,Received,3/18/2025,
Sigma 3.5,,14-03-25,,REF_MASKED,,BKK,SALES_004,HOSP_417,DR_421,Sigma 3.5,Recon LCP,15-03-25,16:00,14-03-25,,ขนส่งบริษัท,STAFF_154,S17,GM01,คืน,ใช้,Mail,3/18/2026,,Received,3/17/2025,
Auxein PEL,,14-03-25,,REF_MASKED,,BKK,SALES_004,HOSP_417,DR_421,Auxein PEL,Pro Pelvic,15-03-25,16:00,14-03-25,,ขนส่งบริษัท,STAFF_154,-,GM01,คืน,ใช้,Mail,3/18/2026,,Received,3/17/2025,
Sigma 2.7/3.5N,,14-03-25,,REF_MASKED,,UPC,SALES_018,HOSP_034,DR_603,Sigma 2.7/3.5N,Clavical (New),15-03-25,9:00,14-03-25,,แอร์โคราช,STAFF_740,SMS07,BM04,คืน,ใช้,Mail,3/18/2026,,Received,3/24/2025,
Off Plate,,14-03-25,,REF_MASKED,,BKK,SALES_006,HOSP_228,DR_350,Off Plate,Sigma 3.5  ( 2 ชิ้น ),17-03-25,10:00,14-03-25,,ขนส่งบริษัท,STAFF_900,-,-,-,คืนครบ,Mail,3/18/2026,,Received,3/31/2025,
Sigma Nail,,14-03-25,,REF_MASKED,,UPC,SALES_021,HOSP_465,DR_169,Sigma Nail,Retrograde Nail,17-03-25,9:00,14-03-25,,รถตู้เอกมัย,STAFF_833,R1,BL14,คืน,ใช้,Mail,3/18/2026,,Received,3/19/2025,
Sigma 3.5,,14-03-25,,REF_MASKED,,BKK,SALES_008,HOSP_086,DR_103,Sigma 3.5,Proximal Humerus,14-03-25,18:00,14-03-25,,ขนส่งบริษัท,STAFF_178,,,,,Mail,3/18/2026,,Cancel,Cancel,
Stryker T8,,14-03-25,,REF_MASKED,,BKK,SALES_004,HOSP_417,DR_421,Stryker T8,Distal Radius T8,16-03-25,7:00,14-03-25,,ขนส่งบริษัท,STAFF_154,41,GM01,คืน,ใช้,Mail,3/18/2026,,Received,3/17/2025,
Sigma Nail,,14-03-25,,REF_MASKED,,BKK,SALES_004,HOSP_079,DR_430,Sigma Nail,PFNA SL + Lag TFN,17-03-25,9:00,15-03-25,,ขนส่งบริษัท,STAFF_146,N29,BL16,คืน,ใช้,Mail,3/18/2026,,Received,3/19/2025,
Auxein ET,,14-03-25,,REF_MASKED,,BKK,SALES_006,HOSP_228,DR_385,Auxein ET,Expert Tibia,17-03-25,10:00,15-03-25,,ขนส่งบริษัท,STAFF_983,12,น้ำเงิน BM,คืน,คืนครบ,Mail,3/18/2026,,Received,3/19/2025,
Sigma Nail,,14-03-25,,REF_MASKED,,BKK,SALES_004,HOSP_484,DR_426,Sigma Nail,PFNA SL + Lag TFN,16-03-25,15:00,15-03-25,,ขนส่งบริษัท,STAFF_146,N42,BL21,คืน,ใช้,Mail,3/18/2026,,Received,3/18/2025,
Sigma 5.0,,14-03-25,,REF_MASKED,,BKK,SALES_009,HOSP_414,DR_555,Sigma 5.0,Distal Femur,18-03-25,18:00,17-03-25,,ขนส่งบริษัท,STAFF_201,L31,BB14,คืน,ใช้,Mail,3/18/2026,,Received,3/21/2025,
Sigma 5.0,,14-03-25,,REF_MASKED,,BKK,SALES_009,HOSP_414,DR_555,Sigma 5.0,Proximal lateral 5.0,18-03-25,18:00,17-03-25,,ขนส่งบริษัท,STAFF_201,L52,BB14,คืน,ใช้,Mail,3/18/2026,,Received,3/21/2025,
Sigma 3.5,,14-03-25,,REF_MASKED,,BKK,SALES_009,HOSP_414,DR_555,Sigma 3.5,PMT + PLT,18-03-25,18:00,17-03-25,,ขนส่งบริษัท,STAFF_201,S02,BB14,คืน,คืนครบ,Mail,3/18/2026,,Received,3/21/2025,
Auxein FNS,,14-03-25,,REF_MASKED,,UPC,SALES_020,HOSP_175,DR_775,Auxein FNS,Femoral Neck System,17-03-25,13:00,15-03-25,,LALAMOVE,STAFF_1181,FNS6,BM18,คืน,ใช้,Mail,3/18/2026,,Received,3/24/2025,
Sigma Nail,,15-03-25,,REF_MASKED,,BKK,SALES_004,HOSP_417,DR_170,Sigma Nail,PFNA SL + Lag TFN,13-03-25,14:00,13-03-25,,ขนส่งบริษัท,STAFF_154,N24,BL04,คืน,ใช้,Mail,3/18/2026,,Received,3/17/2025,
